Normal Atmosphere,Polluted Atmosphere,Time (sec)
142,349,120.9
142,348,121
142,348,121.1
143,349,121.2
142,349,121.3
142,348,121.4
143,349,121.5
142,348,121.6
142,349,121.7
142,349,121.8
142,349,121.9
142,349,122
142,349,122.1
142,349,122.2
142,348,122.3
142,349,122.4
142,348,122.5
142,349,122.6
142,349,122.7
142,349,122.8
142,348,122.9
142,349,123
141,348,123.1
142,348,123.2
142,348,123.3
142,348,123.4
142,348,123.5
142,348,123.6
142,349,123.7
141,348,123.8
142,348,123.9
142,349,124
142,349,124.1
141,348,124.2
142,349,124.3
142,349,124.4
142,349,124.5
142,349,124.6
142,350,124.7
142,350,124.8
142,350,124.9
142,350,125
141,350,125.1
142,350,125.2
141,350,125.3
142,351,125.4
142,351,125.5
141,350,125.6
142,351,125.7
142,351,125.8
142,351,125.9
142,351,126
142,351,126.1
142,351,126.2
142,351,126.3
142,351,126.4
141,351,126.5
142,351,126.6
142,351,126.7
142,351,126.8
141,351,126.9
142,351,127
142,351,127.1
141,351,127.2
142,351,127.3
142,351,127.4
142,351,127.5
142,350,127.6
142,351,127.7
141,351,127.8
142,351,127.9
142,351,128
141,351,128.1
142,351,128.2
141,351,128.3
141,351,128.4
141,351,128.5
142,351,128.6
142,351,128.7
142,351,128.8
142,351,128.9
142,351,129
142,352,129.1
142,351,129.2
142,351,129.3
141,351,129.4
142,351,129.5
142,351,129.6
142,351,129.7
142,351,129.8
142,351,129.9
141,351,130
142,351,130.1
142,351,130.2
142,351,130.3
142,351,130.4
142,351,130.5
142,351,130.6
141,352,130.7
142,351,130.8
142,351,130.9
142,351,131
141,351,131.1
142,351,131.2
142,351,131.3
142,351,131.4
142,351,131.5
142,351,131.6
142,351,131.7
141,351,131.8
141,351,131.9
142,351,132
142,351,132.1
142,351,132.2
141,350,132.3
142,351,132.4
142,350,132.5
142,351,132.6
142,350,132.7
142,350,132.8
141,350,132.9
142,350,133
142,350,133.1
142,350,133.2
141,351,133.3
141,350,133.4
142,350,133.5
142,350,133.6
142,349,133.7
142,350,133.8
141,349,133.9
142,349,134
142,349,134.1
142,349,134.2
141,349,134.3
141,349,134.4
142,349,134.5
142,349,134.6
141,349,134.7
142,349,134.8
142,349,134.9
142,349,135
142,349,135.1
142,349,135.2
141,349,135.3
142,349,135.4
142,349,135.5
141,349,135.6
142,349,135.7
142,350,135.8
141,350,135.9
142,350,136
142,350,136.1
142,349,136.2
142,349,136.3
142,349,136.4
142,350,136.5
142,349,136.6
142,350,136.7
142,350,136.8
142,350,136.9
142,348,137
142,348,137.1
141,348,137.2
142,349,137.3
142,348,137.4
141,348,137.5
141,348,137.6
142,347,137.7
142,346,137.8
142,346,137.9
142,346,138
142,350,138.1
142,350,138.2
141,350,138.3
141,348,138.4
142,349,138.5
142,348,138.6
142,348,138.7
142,348,138.8
142,348,138.9
142,350,139
142,348,139.1
142,348,139.2
142,348,139.3
142,348,139.4
142,348,139.5
142,348,139.6
142,348,139.7
142,348,139.8
142,348,139.9
142,349,140
142,349,140.1
141,348,140.2
142,349,140.3
142,348,140.4
141,348,140.5
142,348,140.6
142,348,140.7
142,348,140.8
142,347,140.9
142,347,141
142,347,141.1
142,347,141.2
142,347,141.3
141,347,141.4
142,347,141.5
141,347,141.6
142,347,141.7
142,346,141.8
141,346,141.9
141,347,142
142,346,142.1
142,346,142.2
141,346,142.3
142,347,142.4
141,346,142.5
142,346,142.6
141,346,142.7
142,346,142.8
142,346,142.9
141,344,143
142,346,143.1
141,347,143.2
141,347,143.3
141,347,143.4
142,347,143.5
142,347,143.6
142,346,143.7
142,347,143.8
142,348,143.9
141,346,144
142,346,144.1
142,346,144.2
142,347,144.3
141,347,144.4
142,346,144.5
142,348,144.6
142,346,144.7
141,346,144.8
141,346,144.9
141,346,145
142,346,145.1
142,346,145.2
141,346,145.3
141,347,145.4
142,347,145.5
142,347,145.6
142,347,145.7
142,346,145.8
141,348,145.9
142,348,146
141,349,146.1
142,348,146.2
141,349,146.3
142,349,146.4
141,350,146.5
142,348,146.6
142,348,146.7
141,348,146.8
142,348,146.9
141,348,147
142,348,147.1
142,348,147.2
142,348,147.3
141,347,147.4
141,347,147.5
142,347,147.6
142,347,147.7
141,347,147.8
141,347,147.9
142,347,148
142,347,148.1
141,347,148.2
141,347,148.3
142,346,148.4
142,346,148.5
142,346,148.6
141,346,148.7
142,345,148.8
141,346,148.9
141,345,149
142,345,149.1
141,346,149.2
142,345,149.3
141,345,149.4
142,345,149.5
141,344,149.6
141,345,149.7
142,345,149.8
141,345,149.9
141,346,150
142,346,150.1
142,347,150.2
141,347,150.3
142,346,150.4
142,346,150.5
141,347,150.6
141,347,150.7
142,346,150.8
141,347,150.9
142,348,151
142,349,151.1
142,349,151.2
141,348,151.3
141,348,151.4
141,347,151.5
141,348,151.6
141,347,151.7
142,347,151.8
141,347,151.9
141,347,152
142,347,152.1
141,347,152.2
142,346,152.3
141,347,152.4
141,346,152.5
142,346,152.6
142,346,152.7
142,346,152.8
141,346,152.9
141,345,153
142,345,153.1
142,346,153.2
142,345,153.3
142,346,153.4
141,346,153.5
141,346,153.6
142,345,153.7
142,345,153.8
141,345,153.9
142,345,154
141,345,154.1
141,345,154.2
141,345,154.3
142,345,154.4
141,345,154.5
141,345,154.6
142,345,154.7
142,345,154.8
141,345,154.9
142,344,155
142,345,155.1
142,344,155.2
141,345,155.3
142,344,155.4
141,345,155.5
142,345,155.6
141,345,155.7
141,346,155.8
142,346,155.9
142,346,156
141,347,156.1
141,345,156.2
142,345,156.3
142,345,156.4
141,346,156.5
142,346,156.6
141,351,156.7
142,346,156.8
142,347,156.9
142,347,157
142,347,157.1
141,344,157.2
142,343,157.3
142,347,157.4
141,346,157.5
142,345,157.6
141,345,157.7
141,345,157.8
141,345,157.9
142,346,158
142,346,158.1
142,345,158.2
141,344,158.3
142,345,158.4
141,345,158.5
141,346,158.6
141,345,158.7
141,351,158.8
142,345,158.9
141,345,159
141,347,159.1
141,342,159.2
141,344,159.3
142,346,159.4
141,346,159.5
142,344,159.6
141,343,159.7
141,344,159.8
142,344,159.9
142,351,160
141,347,160.1
141,345,160.2
142,345,160.3
141,350,160.4
141,349,160.5
142,345,160.6
142,351,160.7
141,347,160.8
142,344,160.9
142,347,161
142,344,161.1
141,344,161.2
142,344,161.3
142,344,161.4
141,350,161.5
141,353,161.6
141,344,161.7
142,344,161.8
141,343,161.9
142,352,162
142,352,162.1
141,346,162.2
141,346,162.3
141,347,162.4
141,347,162.5
141,342,162.6
141,342,162.7
142,341,162.8
142,341,162.9
141,351,163
142,347,163.1
142,349,163.2
142,347,163.3
141,352,163.4
141,346,163.5
142,351,163.6
141,350,163.7
141,348,163.8
141,350,163.9
142,346,164
142,352,164.1
141,349,164.2
142,344,164.3
141,352,164.4
141,341,164.5
142,342,164.6
141,351,164.7
141,352,164.8
141,345,164.9
141,343,165
142,345,165.1
141,347,165.2
141,345,165.3
141,351,165.4
141,346,165.5
142,344,165.6
142,346,165.7
141,347,165.8
141,344,165.9
141,345,166
142,346,166.1
141,345,166.2
141,346,166.3
142,347,166.4
141,353,166.5
141,344,166.6
141,351,166.7
142,347,166.8
141,347,166.9
142,346,167
141,346,167.1
141,345,167.2
141,345,167.3
141,345,167.4
141,345,167.5
142,344,167.6
141,344,167.7
141,343,167.8
142,344,167.9
141,346,168
141,346,168.1
142,345,168.2
141,344,168.3
141,345,168.4
141,345,168.5
141,346,168.6
142,346,168.7
141,347,168.8
142,342,168.9
141,342,169
141,343,169.1
141,347,169.2
141,347,169.3
141,347,169.4
141,347,169.5
141,346,169.6
142,346,169.7
141,345,169.8
141,346,169.9
141,346,170
141,345,170.1
142,345,170.2
141,346,170.3
141,346,170.4
141,345,170.5
141,345,170.6
141,346,170.7
142,346,170.8
141,346,170.9
141,345,171
141,347,171.1
141,346,171.2
141,343,171.3
141,344,171.4
142,352,171.5
141,345,171.6
141,346,171.7
141,344,171.8
141,343,171.9
142,347,172
142,342,172.1
142,342,172.2
141,345,172.3
141,343,172.4
141,343,172.5
141,341,172.6
141,354,172.7
141,351,172.8
141,345,172.9
141,342,173
141,343,173.1
141,341,173.2
141,342,173.3
141,344,173.4
141,345,173.5
141,342,173.6
141,341,173.7
141,351,173.8
141,351,173.9
141,352,174
141,351,174.1
141,352,174.2
141,352,174.3
142,350,174.4
141,346,174.5
141,344,174.6
141,346,174.7
141,347,174.8
141,347,174.9
141,347,175
141,347,175.1
141,347,175.2
141,347,175.3
142,347,175.4
141,349,175.5
141,347,175.6
141,351,175.7
141,348,175.8
141,350,175.9
142,347,176
141,344,176.1
141,344,176.2
142,344,176.3
141,343,176.4
141,343,176.5
141,344,176.6
141,344,176.7
141,344,176.8
141,344,176.9
141,344,177
141,344,177.1
141,343,177.2
141,344,177.3
141,343,177.4
141,344,177.5
141,344,177.6
142,346,177.7
141,347,177.8
141,347,177.9
141,346,178
