MQ-2 Normal Atmosphere,MQ-2 Contaminated Atmosphere,MQ-5Normal Atmosphere,MQ-5 Contaminated Atmosphere (Natural gas),MQ-6 Normal Atmosphere ,MQ-6 Contaminated LPG gas detected ,MQ-8 Normal Atmosphere,MQ-8 Contaminated Atmosphere,MQ-9 Normal Atmosphere,MQ-9 Contaminated Flammable gas detected ,MQ-135 Normal Atmosphere,MQ-135 Contaminated Atmosphere,Time (sec)
83,340,124,439,471,653,144,252,97,555,145,1016,28.8
83,340,124,440,472,653,144,253,97,556,147,1015,28.9
83,340,124,441,471,653,145,254,97,555,146,1016,29
83,340,125,442,471,653,144,254,97,556,146,1016,29.1
83,340,124,443,471,653,145,255,97,555,146,1015,29.2
83,340,124,444,471,653,144,255,97,556,145,1016,29.3
83,340,124,445,471,652,144,256,97,554,146,1015,29.4
83,339,124,446,471,652,145,257,97,556,146,1016,29.5
83,340,124,447,471,652,145,257,97,554,146,1016,29.6
84,340,124,448,471,652,144,257,97,556,145,1016,29.7
83,340,125,448,471,652,145,258,96,555,145,1016,29.8
83,340,124,450,471,652,144,259,97,556,146,1016,29.9
83,340,124,450,471,651,144,259,96,555,146,1016,30
83,340,124,451,471,652,144,260,97,557,145,1016,30.1
83,340,124,452,471,651,144,261,97,555,146,1016,30.2
83,340,124,452,471,652,144,261,97,557,146,1016,30.3
83,340,125,453,471,651,144,261,96,555,145,1016,30.4
84,340,124,454,471,652,145,262,97,557,146,1016,30.5
83,340,124,455,471,652,144,263,97,555,145,1016,30.6
84,339,124,456,471,651,144,263,97,557,146,1016,30.7
84,340,124,456,471,650,144,265,96,555,146,1015,30.8
83,339,124,457,471,649,144,265,97,557,145,1015,30.9
83,339,124,458,471,650,145,265,97,555,146,1016,31
83,339,124,458,471,649,144,266,97,556,146,1016,31.1
84,339,124,458,471,651,144,266,96,555,146,1016,31.2
83,339,124,459,471,650,145,267,97,556,145,1015,31.3
84,339,124,459,471,651,144,267,96,555,146,1016,31.4
83,340,124,461,471,651,144,268,97,556,146,1017,31.5
83,339,125,461,472,651,144,268,96,555,146,1016,31.6
84,339,124,462,471,651,144,269,97,556,146,1016,31.7
83,340,124,462,471,652,144,269,97,556,145,1016,31.8
84,340,125,463,471,651,144,270,96,555,146,1016,31.9
83,339,125,463,471,651,144,270,97,556,146,1016,32
84,339,124,465,471,651,144,271,96,555,145,1016,32.1
83,340,124,464,471,651,144,271,97,556,145,1016,32.2
84,339,124,465,471,650,144,271,97,555,145,1016,32.3
83,339,124,465,471,650,144,272,97,556,145,1016,32.4
83,340,124,466,471,650,144,272,97,554,146,1016,32.5
83,339,124,466,471,650,144,273,97,556,145,1016,32.6
83,339,124,467,471,650,144,274,96,555,146,1016,32.7
84,339,124,467,471,650,144,273,97,555,147,1016,32.8
83,339,124,468,472,650,144,274,96,554,145,1015,32.9
83,340,124,468,471,651,144,275,97,556,146,1016,33
83,339,125,469,471,650,145,275,96,554,146,1015,33.1
83,339,124,469,471,650,144,276,97,556,145,1016,33.2
83,339,124,470,471,650,144,276,96,555,145,1016,33.3
83,339,124,470,471,650,144,277,97,555,145,1016,33.4
83,339,125,471,471,650,144,277,97,555,146,1016,33.5
83,339,124,471,471,650,144,277,97,556,146,1016,33.6
83,339,124,472,471,648,144,278,97,555,146,1015,33.7
83,339,125,471,471,649,144,279,96,556,145,1016,33.8
83,339,124,472,471,649,145,279,97,555,145,1016,33.9
83,339,124,472,471,649,144,280,96,556,146,1016,34
83,339,124,473,471,652,144,280,97,555,146,1016,34.1
83,340,123,473,471,652,144,280,96,556,145,1016,34.2
83,339,124,473,471,654,144,281,97,555,145,1016,34.3
84,339,124,474,471,654,145,281,96,556,146,1016,34.4
83,339,124,474,471,654,144,282,97,554,146,1016,34.5
84,339,124,474,471,654,144,282,97,555,145,1016,34.6
84,339,125,475,471,620,144,283,97,554,146,1016,34.7
83,339,124,476,471,622,144,283,97,555,146,1016,34.8
83,339,124,476,471,623,144,284,96,554,146,1016,34.9
83,339,124,476,471,624,144,285,97,555,146,1016,35
83,339,124,476,472,625,145,285,97,555,145,1016,35.1
83,339,124,476,471,626,144,285,97,555,145,1015,35.2
83,339,124,477,471,625,144,286,97,555,146,1016,35.3
83,339,125,477,471,626,144,286,96,555,146,1016,35.4
83,339,124,477,471,626,144,287,97,555,146,1016,35.5
83,339,124,477,471,627,144,287,97,554,146,1016,35.6
83,339,124,478,472,771,144,287,97,556,145,1016,35.7
84,340,124,478,471,803,144,288,96,554,145,1016,35.8
83,339,124,478,471,814,144,288,97,555,146,1016,35.9
83,339,125,478,471,811,144,289,97,554,146,1016,36
83,338,124,479,471,794,144,289,97,555,146,1016,36.1
83,338,125,479,471,795,144,289,96,553,146,1017,36.2
83,339,124,479,471,798,144,289,97,555,146,1016,36.3
83,339,124,479,471,803,144,290,96,553,146,1016,36.4
83,338,125,479,471,795,144,290,97,555,146,1015,36.5
83,339,124,479,471,703,144,292,96,554,145,1016,36.6
83,339,124,480,471,621,145,292,97,555,146,1016,36.7
84,339,124,480,471,619,144,292,97,554,145,1016,36.8
83,338,124,480,471,616,144,293,97,555,146,1016,36.9
83,338,124,480,471,616,144,293,97,554,146,1016,37
84,339,124,480,471,617,144,293,97,555,146,1016,37.1
