Normal Atmosphere,Polluted Atmosphere,Time (sec)
146,1017,91.6
145,1017,91.7
145,1017,91.8
144,1017,91.9
145,1017,92
145,1015,92.1
145,1017,92.2
145,1017,92.3
145,1016,92.4
145,1016,92.5
145,1017,92.6
145,1016,92.7
146,1017,92.8
146,1016,92.9
145,1016,93
145,1016,93.1
146,1016,93.2
145,1017,93.3
145,1016,93.4
145,1016,93.5
145,1016,93.6
146,1017,93.7
145,1017,93.8
145,1017,93.9
145,1016,94
146,1015,94.1
146,1016,94.2
145,1015,94.3
146,1015,94.4
146,1016,94.5
145,1016,94.6
145,1016,94.7
145,1016,94.8
146,1016,94.9
145,1015,95
145,1015,95.1
146,1015,95.2
146,1016,95.3
145,1016,95.4
145,1015,95.5
145,1016,95.6
145,1015,95.7
145,1015,95.8
145,1016,95.9
145,1016,96
145,1015,96.1
145,1016,96.2
145,1015,96.3
145,1015,96.4
145,1015,96.5
145,1014,96.6
145,1015,96.7
146,1015,96.8
145,1015,96.9
145,1015,97
145,1016,97.1
145,1015,97.2
145,1016,97.3
145,1016,97.4
145,1015,97.5
146,1015,97.6
145,1016,97.7
145,1016,97.8
145,1015,97.9
145,1015,98
145,1015,98.1
145,1015,98.2
145,1015,98.3
146,1015,98.4
145,1016,98.5
145,1016,98.6
145,1015,98.7
145,1015,98.8
145,1015,98.9
145,1016,99
145,1016,99.1
145,1016,99.2
146,1016,99.3
145,1015,99.4
145,1016,99.5
146,1016,99.6
146,1016,99.7
145,1015,99.8
145,1015,99.9
145,1015,100
146,1016,100.1
145,1016,100.2
145,1016,100.3
145,1015,100.4
145,1015,100.5
146,1015,100.6
145,1016,100.7
146,1016,100.8
145,1015,100.9
145,1015,101
146,1015,101.1
145,1015,101.2
146,1015,101.3
145,1016,101.4
145,1016,101.5
145,1015,101.6
145,1016,101.7
146,1016,101.8
145,1015,101.9
145,1016,102
145,1016,102.1
145,1015,102.2
145,1015,102.3
145,1015,102.4
146,1015,102.5
145,1015,102.6
145,1015,102.7
145,1015,102.8
146,1015,102.9
146,1015,103
145,1015,103.1
145,1015,103.2
146,1015,103.3
145,1015,103.4
145,1016,103.5
145,1015,103.6
146,1015,103.7
145,1016,103.8
145,1016,103.9
145,1015,104
145,1015,104.1
145,1015,104.2
145,1015,104.3
145,1015,104.4
146,1016,104.5
145,1015,104.6
145,1014,104.7
145,1015,104.8
146,1015,104.9
145,1015,105
145,1015,105.1
146,1016,105.2
145,1016,105.3
145,1014,105.4
145,1015,105.5
145,1015,105.6
145,1016,105.7
146,1015,105.8
145,1015,105.9
145,1015,106
145,1016,106.1
146,1016,106.2
145,1015,106.3
145,1015,106.4
146,1015,106.5
146,1016,106.6
145,1015,106.7
145,1015,106.8
145,1016,106.9
145,1015,107
145,1015,107.1
146,1015,107.2
145,1015,107.3
145,1015,107.4
145,1015,107.5
145,1016,107.6
145,1016,107.7
145,1016,107.8
145,1015,107.9
145,1015,108
145,1015,108.1
145,1016,108.2
145,1015,108.3
145,1016,108.4
145,1015,108.5
145,1014,108.6
145,1015,108.7
145,1016,108.8
145,1015,108.9
145,1015,109
145,1015,109.1
